Date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,Garam Halus Beryodium
11/06/2023,"22,4","33,3","26,8",78,,"8,3",3,360,0,C,11.860
12/06/2023,"22,6","32,6","27,5",79,,"9,6",4,40,1,C,11.890
13/06/2023,"23,5","33,4","26,9",84,,"8,6",5,300,1,C,11.840
14/06/2023,"23,8","31,4","25,4",89,"15,7","5,6",3,340,0,C,12.280
15/06/2023,"22,1","32,2","27,2",81,"16,5","3,9",5,50,1,C,12.210
16/06/2023,"24,4",29,"24,5",95,"2,6","6,1",2,160,0,C,12.170
17/06/2023,"22,4",30,"25,9",86,"10,1",0,4,80,0,C,11.690
18/06/2023,"23,3","32,4","26,3",86,,"0,4",4,320,1,C,12.410
19/06/2023,23,33,"25,7",91,"73,7","9,4",2,190,0,C,11.660
20/06/2023,"22,2","33,4","26,9",80,"15,1","5,7",3,30,0,C,11.970
21/06/2023,"23,6",33,"26,8",84,,"9,6",4,210,1,C,12.100
22/06/2023,24,33,"27,7",80,"3,6","7,2",3,180,1,C,11.740
23/06/2023,24,33,"27,2",83,"14,3","7,7",2,310,1,C,12.200
24/06/2023,"23,3","32,8","26,7",87,"0,4","7,7",3,200,1,C,12.520
25/06/2023,23,"32,9","25,7",86,7,"8,9",4,100,1,C,12.280
26/06/2023,"21,8","32,4","25,9",,1,"6,5",2,360,0,C,12.030
27/06/2023,"22,4",33,"25,9",84,,8,4,180,1,C,12.280
28/06/2023,"22,5","33,4","26,8",78,,9,3,70,1,C,12.050
29/06/2023,23,"32,6","26,5",85,"23,5","9,2",4,360,0,C,12.030
30/06/2023,23,33,"27,1",82,"16,2","8,9",3,330,0,C,11.780
01/07/2023,"25,2","33,6","29,3",73,,"8,3",7,130,3,SE,14.110
02/07/2023,"25,4",34,"29,1",72,0,"8,2",6,140,3,SE,13.660
03/07/2023,"25,4","33,8","28,8",72,0,"8,4",5,70,2,NW,13.770
04/07/2023,"25,6","33,5",29,71,0,5,6,190,3,E,13.770
05/07/2023,"25,2","33,6","28,7",75,"12,5","6,3",6,150,3,SE,13.800
06/07/2023,"25,5","34,6","29,3",71,0,"8,5",6,150,3,SE,13.670
07/07/2023,26,"32,4","27,7",80,,"8,3",5,100,3,W,13.560
08/07/2023,"25,2","29,8","27,3",85,"34,5",1,5,140,2,SE,14.050
09/07/2023,"24,8","32,6","28,5",78,"3,8","0,6",8,160,4,SE,13.710
10/07/2023,"25,8","32,8","28,9",77,0,"8,7",7,120,3,SE,13.670
11/07/2023,25,"33,4","28,3",71,0,"8,8",5,120,2,SE,13.660
12/07/2023,"24,2","32,8","27,7",69,0,"4,8",3,330,2,E,13.620
13/07/2023,25,"33,8","28,8",72,0,"8,7",6,140,2,SE,13.710
14/07/2023,"25,6","33,4","28,8",75,0,"4,3",7,130,3,C,13.670
15/07/2023,"24,6","33,2","28,5",72,0,"8,5",6,120,2,C,13.900
16/07/2023,"24,6","32,4","27,8",71,0,"7,9",7,130,3,SE,13.940
17/07/2023,"23,2","32,6","27,3",68,,"8,5",7,140,3,SE,13.780
18/07/2023,"23,6",34,"27,2",72,0,9,9,150,4,SE,13.730
19/07/2023,"23,8",33,"28,2",68,0,"8,7",7,140,3,SE,13.780
20/07/2023,23,"32,9","26,9",68,0,"8,7",6,120,2,C,13.780
21/07/2023,"22,8","31,8","27,2",67,0,"8,8",5,100,2,SE,13.730
22/07/2023,"23,2","32,8","27,2",68,0,"8,8",8,140,4,SE,13.780
23/07/2023,"23,6",33,"28,1",70,,9,5,150,3,SE,13.730
24/07/2023,"24,6","32,2","28,1",70,,8,6,130,3,SE,13.820
25/07/2023,"25,6","32,6","28,8",77,0,"8,6",8,100,4,SE,13.780
26/07/2023,25,33,"27,8",71,0,"6,3",5,120,2,SE,13.510
27/07/2023,"23,8",33,"27,7",65,0,"7,6",6,110,3,SE,13.710
28/07/2023,"23,4","32,2","27,1",67,0,"8,2",5,170,2,SE,13.710
29/07/2023,"23,2","32,2","27,2",68,0,"8,3",7,130,3,SE,13.670
30/07/2023,"22,8",32,"27,3",65,0,"8,4",9,150,4,SE,13.780
31/07/2023,"22,8","33,2","27,4",69,0,"8,5",7,150,4,SE,13.650
01/08/2023,"23,8",33,"29,1",70,0,"8,6",10,140,4,SE,13.140
02/08/2023,"25,4",34,"29,2",75,,"8,3",6,100,4,SE,13.140
03/08/2023,26,"33,8","29,1",74,0,"8,3",8,150,4,SE,13.140
04/08/2023,25,"33,8","28,7",70,0,"8,3",7,150,3,SE,13.140
05/08/2023,24,"33,4","27,8",71,0,"7,7",7,150,3,SE,13.140
06/08/2023,"24,4","33,4","28,5",70,8888,"9,2",8,140,3,SE,13.140
07/08/2023,"24,6","33,5","28,1",73,0,"6,8",8,140,4,SE,13.140
08/08/2023,"24,8","32,2",28,71,,8,7,140,4,SE,13.020
09/08/2023,"23,8","33,3","27,4",69,0,"8,2",7,140,4,SE,13.270
10/08/2023,"23,6",33,"27,6",66,,"9,5",7,190,3,SE,13.140
11/08/2023,"22,8","32,6",27,68,,"7,7",6,150,3,SE,13.140
12/08/2023,"23,2",33,"27,4",64,0,"7,7",6,140,3,SE,13.140
13/08/2023,"23,6","32,8","27,8",68,0,8,7,140,4,SE,13.140
14/08/2023,24,"33,1","27,6",69,0,8,6,130,3,SE,13.140
15/08/2023,"23,8",33,"27,5",75,0,"7,8",6,120,3,SE,13.140
16/08/2023,24,"33,3","28,3",62,0,"8,8",5,160,2,E,13.290
17/08/2023,"23,5","32,8","27,7",68,0,"8,7",7,80,3,C,13.140
18/08/2023,"22,8","32,6","27,8",65,,8,8,100,3,E,13.140
19/08/2023,"23,6","33,2","28,7",67,0,"8,9",7,130,4,E,13.140
20/08/2023,24,"33,4","28,8",66,,"9,5",5,150,2,SE,13.500
21/08/2023,"24,1","32,9","28,5",69,0,9,7,90,4,E,13.500
22/08/2023,"24,5","32,6","28,3",66,0,8,6,110,3,E,13.500
23/08/2023,"23,4",33,28,66,0,"9,8",8,110,3,E,13.500
24/08/2023,"23,5","32,6","28,3",66,0,"9,9",8,90,3,E,13.500
25/08/2023,24,"33,8","28,9",68,0,"9,6",6,110,2,E,13.500
26/08/2023,"24,2","33,8","28,9",61,,"9,2",5,100,3,E,13.500
27/08/2023,"23,3","33,8","28,7",63,0,"9,5",6,140,3,E,13.500
28/08/2023,24,"32,5","28,7",66,0,9,8,100,3,SE,13.270
29/08/2023,24,"33,8",29,62,0,"9,2",7,130,3,C,13.270
30/08/2023,"23,9","33,1","28,6",67,0,9,8,80,3,E,13.270
31/08/2023,"23,6","33,2","28,7",65,0,9,7,110,3,E,13.120
01/09/2023,25,"33,4","28,3",67,0,"8,5",5,160,3,SE,12.520
02/09/2023,24,"33,2",28,64,0,"8,4",7,130,3,SE,12.520
03/09/2023,"23,2","33,7","27,7",62,0,"8,3",7,150,4,SE,12.520
04/09/2023,"23,9",33,"27,5",64,0,"8,2",6,130,3,SE,12.520
05/09/2023,"23,2","33,2","27,9",60,0,"8,3",8,150,4,SE,12.520
06/09/2023,24,"34,7","28,5",66,,"8,5",6,70,3,SE,12.520
07/09/2023,"24,6",33,"28,4",71,0,"8,2",7,140,3,SE,12.520
08/09/2023,"24,4",33,"28,2",68,0,"8,2",7,140,3,SE,12.520
09/09/2023,"23,2","33,8","27,7",68,,"8,5",6,140,3,SE,12.520
10/09/2023,23,"33,6","27,9",63,0,"8,5",7,140,4,SE,12.520
11/09/2023,24,"34,6",29,65,,"8,5",8,180,3,SE,12.520
12/09/2023,"25,2","34,8","29,2",66,0,"8,5",7,140,4,S,12.520
13/09/2023,"25,2","34,8","28,9",68,0,"8,8",7,150,3,SE,12.520
14/09/2023,"25,6","32,8","28,4",71,0,"8,7",8,150,4,SE,12.520
15/09/2023,"23,6","33,1","28,1",68,0,"8,3",7,140,3,SE,12.520
16/09/2023,25,"33,2","28,7",71,0,"8,7",8,140,4,SE,12.520
17/09/2023,"25,4","34,2","28,6",70,0,"8,3",6,130,4,SE,12.610
18/09/2023,"24,8","33,4","28,3",70,5,"8,7",6,140,3,SE,12.520
19/09/2023,"24,2","34,4",29,65,,"8,1",7,140,4,SE,12.520
20/09/2023,"24,6","34,4","28,7",67,,"8,6",6,120,4,E,12.140
21/09/2023,"24,5","33,8","28,4",64,0,"8,6",8,120,3,SE,12.350
22/09/2023,"23,4",33,28,63,0,"7,3",7,150,4,SE,12.350
23/09/2023,"24,6","34,8","28,7",65,0,"8,6",7,170,4,S,12.350
24/09/2023,"24,8","34,8","29,1",62,0,"8,8",10,150,4,SE,12.350
25/09/2023,25,"34,6","29,1",71,0,"8,6",6,150,3,SE,12.430
26/09/2023,"24,5",35,"28,7",61,0,"8,7",7,140,3,SE,12.430
27/09/2023,24,"34,6",29,62,,"8,5",7,140,4,SE,12.430
28/09/2023,"24,6",35,"28,9",66,0,"8,8",8,120,4,SE,12.430
29/09/2023,"25,8","34,6","29,8",65,0,"8,7",9,140,4,SE,12.430
30/09/2023,"25,8",35,"29,5",61,0,"8,6",6,140,3,SE,12.430
01/10/2023,"24,4","35,3","29,1",64,0,"8,7",7,140,2,SE,10.710
02/10/2023,"25,2","35,1","29,2",60,0,"8,7",8,150,3,SE,10.710
03/10/2023,"25,5",35,"29,3",65,0,"8,8",7,120,3,SE,10.860
04/10/2023,"26,4","34,8","29,9",64,0,"8,8",7,140,3,SE,10.710
05/10/2023,"25,8","34,7","29,3",72,,"8,8",7,140,4,SE,10.710
06/10/2023,26,"35,8","30,4",64,,"7,4",8,150,4,SE,10.710
07/10/2023,"26,8","33,8","29,8",67,0,"8,8",9,150,4,SE,10.710
08/10/2023,"25,6","35,1","29,8",69,0,"7,4",10,150,4,SE,10.710
09/10/2023,26,35,"30,4",64,0,"8,8",7,150,2,SE,10.710
10/10/2023,"27,2","35,5","30,7",64,0,"8,9",5,110,2,SE,10.710
11/10/2023,,"34,8","30,4",63,,"6,8",7,150,3,SE,10.190
12/10/2023,"26,6","34,6","29,8",65,0,"8,8",6,130,3,SE,10.710
13/10/2023,"26,8",35,"30,2",66,,"8,7",8,150,4,SE,10.710
14/10/2023,"26,8","35,6","30,6",62,0,"8,5",8,150,5,SE,11.040
15/10/2023,27,35,"30,2",67,0,"8,7",7,140,4,SE,11.040
16/10/2023,"27,8","35,2","30,8",66,0,"7,7",7,150,4,SE,11.040
17/10/2023,26,35,"30,4",64,0,"8,9",11,100,5,S,11.040
18/10/2023,"26,8","36,2","30,5",65,0,9,12,150,5,SE,11.040
19/10/2023,"27,6","35,4",31,62,0,9,8,140,4,SE,11.040
20/10/2023,"27,2",36,"31,4",65,0,"8,9",7,120,3,S,11.040
21/10/2023,"26,8",36,"31,1",65,,"8,8",4,140,2,NE,11.040
22/10/2023,"26,8","36,8","30,9",64,0,"6,6",5,120,2,E,11.040
23/10/2023,"26,8","36,8","30,9",64,0,"6,6",5,120,2,E,11.040
24/10/2023,"27,2","35,4","30,8",68,1,9,6,110,3,E,11.040
25/10/2023,"27,8","35,8",31,61,0,"7,2",7,160,4,SE,11.040
26/10/2023,"26,2","36,8","31,3",62,0,"8,8",6,160,3,SE,11.040
27/10/2023,"26,8","36,5","30,6",67,,9,7,150,3,SE,11.040
28/10/2023,"26,2","36,6","30,9",58,0,9,6,150,2,SE,11.040
29/10/2023,"25,8",36,"30,8",64,,9,6,160,3,SE,11.040
30/10/2023,"27,6","36,2","31,4",64,0,"9,1",7,150,4,SE,11.040
31/10/2023,"28,4","36,2","31,2",67,0,"8,9",6,150,3,SE,11.040
01/11/2023,"27,8","36,2","31,3",64,0,"9,1",5,70,2,SE,10.840
02/11/2023,27,"36,4","31,5",63,0,"8,2",9,150,3,SE,10.770
03/11/2023,"28,6","34,8","30,7",69,8888,9,6,120,3,SE,10.840
04/11/2023,28,"35,8","29,2",77,0,"5,5",6,120,2,SE,10.840
05/11/2023,"26,6","34,2","30,2",73,"13,9","4,8",4,80,2,SE,10.840
06/11/2023,27,"36,2",31,66,,"6,8",6,170,3,SE,10.840
07/11/2023,"26,4","36,2",31,65,0,9,6,140,3,E,10.840
08/11/2023,"26,5","37,2",31,65,0,"7,6",4,310,2,N,10.930
09/11/2023,"26,6","35,3",31,70,0,"8,8",5,20,2,N,10.840
10/11/2023,"27,5","35,2","30,9",71,"9,5","7,3",3,20,2,N,10.840
11/11/2023,"27,8","35,8","31,1",67,0,6,7,100,4,E,10.840
12/11/2023,"26,2","35,2","30,7",68,0,"8,7",6,80,4,SE,10.850
13/11/2023,27,"36,2","31,6",66,,"7,5",4,140,2,SE,10.840
14/11/2023,"27,6","35,8","31,2",69,0,"9,4",5,70,2,SE,10.840
15/11/2023,27,"35,8","31,7",67,"0,8",7,5,120,2,E,10.960
16/11/2023,"28,2","35,6","30,8",69,0,8,5,120,2,NW,11.080
17/11/2023,27,"35,8","30,6",73,23,"6,9",3,330,2,NW,10.960
18/11/2023,"26,6","36,2","31,1",64,0,"3,1",5,340,2,N,10.960
19/11/2023,"27,2","36,2","31,5",60,0,"6,2",6,170,3,SE,10.970
20/11/2023,"27,2","36,2","31,9",62,0,"9,2",7,130,3,E,10.770
21/11/2023,28,"36,2","31,4",67,,"9,2",6,140,3,SE,10.770
22/11/2023,"26,4","36,8","32,4",64,0,"9,2",8,130,4,SE,10.770
23/11/2023,"28,6","37,2","31,6",63,0,9,7,130,3,SE,10.860
24/11/2023,28,"35,6","29,9",73,0,"7,1",3,170,2,SE,10.770
25/11/2023,"27,6","33,8","29,4",74,0,"3,3",5,340,2,N,10.770
26/11/2023,"26,6",35,"30,6",68,0,2,5,300,2,S,10.850
27/11/2023,"27,1","34,8","29,6",77,0,9,8,320,3,E,10.530
28/11/2023,"26,4","32,2",28,83,"18,5","4,5",5,120,2,SE,10.270
29/11/2023,"25,8","33,4","29,6",78,"33,5","0,8",5,40,2,E,10.270
30/11/2023,"26,2","34,8","29,9",74,8888,"4,8",6,50,2,SE,10.360
01/12/2023,"27,2","35,8","28,4",80,"0,7","5,9",6,340,2,NW,11.850
02/12/2023,"25,8","33,6","29,3",76,"4,4","2,7",4,80,2,E,11.930
03/12/2023,"26,2","33,8","29,4",76,8888,"2,7",5,70,2,SE,11.530
04/12/2023,"26,2","33,8","29,6",74,"6,2","6,2",4,60,1,C,11.890
05/12/2023,"26,2",35,"30,3",72,8888,"1,2",5,20,2,N,11.990
06/12/2023,"26,5","35,6","30,6",72,0,"7,4",3,100,2,N,11.990
07/12/2023,"25,8","35,8","29,8",72,0,"7,1",7,340,3,N,11.930
08/12/2023,25,"34,6","29,5",77,"18,5","9,2",4,50,2,NW,12.160
09/12/2023,"26,4","33,5","29,9",75,8888,"5,2",4,340,2,N,11.930
10/12/2023,"26,8","33,6","28,7",80,,"1,8",4,330,1,C,11.800
11/12/2023,"26,4",36,"30,5",69,20,"1,5",4,350,2,N,11.950
12/12/2023,"25,8","36,2","31,1",69,0,"8,6",5,360,3,N,11.960
13/12/2023,"27,4",35,"30,2",73,0,9,6,160,2,S,12.090
14/12/2023,27,"34,2","29,8",76,0,"5,2",4,140,2,SE,11.930
15/12/2023,"26,6","34,4","29,4",75,"20,2","2,1",5,20,2,S,11.150
16/12/2023,"25,4","35,8","31,3",67,"0,4","6,2",6,330,2,NW,11.130
17/12/2023,"26,8","35,6","30,6",69,0,"9,3",5,30,3,SE,11.610
18/12/2023,"26,8","34,2","30,6",66,8888,"8,8",4,60,2,SE,12.000
19/12/2023,"26,6",36,"30,8",62,0,"6,6",4,340,2,NW,12.450
20/12/2023,"25,8","34,4","30,5",61,0,"7,7",5,130,2,SE,12.140
21/12/2023,"26,4","35,6","31,1",65,0,"9,3",5,360,2,N,11.770
22/12/2023,"27,8",36,31,68,0,"8,8",4,160,2,W,11.660
23/12/2023,27,35,31,68,0,"7,7",5,340,2,NE,12.150
24/12/2023,"26,4","36,4","31,2",69,,"9,3",5,80,2,SE,12.170
25/12/2023,"27,2","34,6","28,5",80,0,"8,6",6,270,2,NW,12.150
26/12/2023,"25,2","34,6","29,9",74,"37,1",2,4,250,2,NW,11.760
27/12/2023,"26,8","34,4","30,6",72,0,7,4,150,2,NE,12.050
28/12/2023,"27,4","35,6","30,6",75,0,8,8,100,2,E,11.940
29/12/2023,"27,8","35,6","30,8",74,8888,"5,5",6,70,3,SE,11.940
30/12/2023,27,"35,8","30,6",76,"14,2","6,5",4,350,2,N,11.960
31/12/2023,27,"35,8","30,5",75,8888,"7,7",6,100,2,N,12.170
01/01/2024,"23,6","31,3","27,5",85,"16,4","3,9",4,10,1,C,11.550
02/01/2024,"23,6","32,8","27,2",86,"1,5","2,3",3,45,0,C,11.540
03/01/2024,"24,4","29,8","26,4",90,"13,7","2,2",3,260,1,C,11.530
04/01/2024,"24,2","31,6","25,6",91,1,"0,4",4,170,1,C,11.510
05/01/2024,"23,8","32,3","27,2",82,"5,2","1,3",3,330,1,C,11.500
06/01/2024,"23,2","32,6","26,1",87,0,"3,8",5,240,1,C,11.560
07/01/2024,"23,5","31,6","25,3",90,"2,8","4,5",8,70,2,C,11.580
08/01/2024,23,"31,7","26,1",87,19,"5,1",8,330,1,C,11.570
09/01/2024,"23,3","33,5","27,5",82,"3,9","5,4",10,310,1,C,11.490
10/01/2024,"23,6",33,"26,2",88,"3,5","7,1",14,270,1,C,11.530
11/01/2024,,"32,8","25,7",92,35,"5,4",5,20,0,C,11.540
12/01/2024,"23,5","30,8",26,88,"20,8","3,3",7,270,1,C,11.490
13/01/2024,"22,8","33,6","26,4",85,,"1,8",6,10,1,C,11.500
14/01/2024,"22,9","32,5","26,5",85,"10,6","4,7",14,360,2,C,11.490
15/01/2024,23,"31,8","27,2",82,7,"6,8",2,320,0,C,11.390
16/01/2024,23,"32,5","27,6",80,,"4,8",3,130,0,C,11.610
17/01/2024,"24,5","30,4","25,5",91,,"6,7",11,180,1,C,11.570
18/01/2024,"23,4","30,2","26,5",86,"3,7","2,1",5,335,1,C,11.420
19/01/2024,"23,4","32,9","23,7",94,"26,9","0,6",4,200,0,C,11.480
20/01/2024,"21,4","33,2",27,70,"32,5",0,12,235,3,C,11.500
21/01/2024,22,31,"25,9",88,,"10,1",2,260,0,C,11.540
22/01/2024,"23,1","32,5","27,2",73,6,"4,2",10,200,2,C,11.520
23/01/2024,"23,6","30,7","26,4",81,"2,6","3,7",5,255,1,C,11.510
24/01/2024,"22,1","30,9","26,3",83,"0,5","1,4",6,150,1,C,11.640
25/01/2024,"22,3","32,6","27,9",79,"19,5","2,6",4,20,1,C,11.570
26/01/2024,24,"32,2","27,1",84,,"9,2",5,315,1,C,11.590
27/01/2024,"24,1","27,2","25,1",94,"3,7","6,3",5,280,1,C,11.540
28/01/2024,"23,5","29,3","24,9",92,"32,9",0,10,20,2,C,11.600
29/01/2024,"22,8","28,6","25,5",92,"65,7","1,3",4,20,1,C,11.680
30/01/2024,"22,9","28,8","25,4",92,"8,7","0,2",10,200,1,C,11.590
31/01/2024,23,31,"25,2",90,"50,7","0,2",6,300,1,C,11.530
01/02/2024,"22,2","31,1","25,4",89,"1,3","4,5",10,190,2,C,11.590
02/02/2024,"22,5","33,3","27,2",82,"24,3","4,7",11,30,2,C,11.590
03/02/2024,"24,4","30,7","25,6",90,"10,5","8,8",9,325,2,C,11.680
04/02/2024,"23,4","31,8","26,2",86,"1,7","3,5",11,230,2,C,11.600
05/02/2024,23,"31,4","26,5",84,"4,2",1,4,270,1,C,11.710
06/02/2024,"23,8","29,8","24,6",91,"1,5","5,2",6,300,1,C,11.760
07/02/2024,"22,3","30,7",25,90,"3,2","0,5",8,180,1,C,11.560
08/02/2024,21,"34,4","27,4",78,25,"3,3",5,10,1,C,11.560
09/02/2024,"21,4",32,"28,3",77,8888,8,8,20,2,C,11.270
10/02/2024,"21,4","32,6","25,4",90,0,7,4,270,1,C,11.890
11/02/2024,"22,2","31,7","25,7",88,"3,1","2,9",12,180,2,C,11.600
12/02/2024,"22,6","31,8","27,1",83,"38,7","6,2",6,340,1,C,11.640
13/02/2024,"23,5",32,"28,3",80,8888,"5,9",5,360,1,C,11.580
14/02/2024,"23,8","30,8","27,3",86,"10,1",7,8,355,1,C,11.520
15/02/2024,"24,3","31,8","26,8",89,3,"0,9",4,300,1,C,11.570
16/02/2024,"24,6","30,7","26,3",91,9,"3,3",9,220,2,C,11.740
17/02/2024,"24,5","30,8","25,8",91,"3,6","1,6",5,20,1,C,11.610
18/02/2024,"23,5","32,1","25,9",89,"14,4","3,8",13,190,2,C,11.670
19/02/2024,"23,6",32,"27,1",86,"3,7","5,3",8,360,2,C,11.650
20/02/2024,"23,6",,"27,3",84,8888,"4,7",5,40,1,C,11.700
21/02/2024,24,32,"26,9",87,64,8,10,240,1,C,11.660
22/02/2024,24,"33,4","28,2",82,"0,6","5,1",5,20,1,C,11.690
23/02/2024,"23,8","33,6","28,5",78,,"8,1",4,300,1,C,11.710
24/02/2024,"24,8","34,2","27,8",83,,8,6,340,2,C,11.620
25/02/2024,"23,6","30,6","26,9",86,"4,8","5,8",4,280,1,C,11.640
26/02/2024,"24,4","30,1","26,9",85,8888,"0,4",6,270,1,C,11.570
27/02/2024,"24,1","32,2","26,9",83,,"2,3",10,360,3,C,11.560
28/02/2024,"24,2","28,9","26,2",89,"1,1","6,8",3,160,0,C,11.550
29/02/2024,"24,2","28,6","24,8",93,5,0,3,230,1,C,11.660
01/03/2024,23,32,"25,7",89,"3,7",1,4,280,1,C,11.610
02/03/2024,"23,2",31,"25,6",94,25,"5,2",10,350,2,C,11.580
03/03/2024,"23,8","31,3","25,5",91,57,"3,5",15,340,2,C,11.590
04/03/2024,"22,6","31,9","26,7",86,"30,4","2,6",5,20,1,C,11.680
05/03/2024,"23,6",32,"26,9",88,"0,7","4,3",7,340,2,C,11.520
06/03/2024,"23,6","33,4","26,6",87,"0,8","3,4",18,160,1,C,11.530
07/03/2024,"23,6","32,6","26,6",88,"40,2","5,4",11,150,2,C,11.630
08/03/2024,24,"30,9","26,1",88,"65,2","6,3",10,240,4,SW,11.500
09/03/2024,24,"27,1",25,91,"18,8","2,4",8,260,1,C,11.670
10/03/2024,"23,4","31,4","26,9",88,4,"0,5",4,360,1,C,11.610
11/03/2024,"24,6","29,2","26,4",90,2,"0,5",8,320,2,C,11.600
12/03/2024,"23,9","30,2","26,4",86,"10,7","0,8",7,335,2,C,11.650
13/03/2024,"24,2","30,4","26,2",91,"10,2","3,5",7,340,1,C,11.610
14/03/2024,"24,6",28,25,92,"27,3","0,5",13,180,2,C,11.490
15/03/2024,23,"30,8","24,8",90,"38,6",0,4,180,1,C,11.580
16/03/2024,23,"29,6","25,2",89,"13,9","0,1",7,320,2,C,11.630
17/03/2024,"23,1","28,4","24,9",91,"6,9","2,2",5,250,1,C,11.590
18/03/2024,"22,3",,"26,7",82,9,1,10,260,2,C,11.660
19/03/2024,"22,2",34,"27,2",71,,"5,6",8,280,2,C,11.600
20/03/2024,"20,5","34,2","27,1",72,,"9,7",4,350,1,C,11.660
21/03/2024,20,"33,9","27,8",78,,"10,1",10,340,3,C,11.610
22/03/2024,"21,8","30,7","26,9",83,8888,"9,7",7,360,2,C,11.620
23/03/2024,23,"33,4","28,4",79,0,"1,2",9,360,2,C,11.570
24/03/2024,"24,6","34,2","27,4",84,"3,3","5,7",6,20,2,C,11.630
25/03/2024,24,"33,4","26,4",88,134,"6,2",4,280,1,C,11.610
26/03/2024,"23,6","33,6","26,6",86,"27,8","4,8",3,75,1,C,11.560
27/03/2024,"24,1","31,3","25,5",90,"42,8","6,5",11,20,1,C,11.640
28/03/2024,"22,9","33,6",27,82,"1,1",0,4,250,1,C,11.570
29/03/2024,"23,6","34,5","26,3",86,"5,9","7,8",6,360,2,C,11.640
30/03/2024,23,"33,4","26,9",89,"72,5","6,9",6,60,1,C,11.680
31/03/2024,"23,2","33,1","26,9",88,"71,4","6,2",10,30,1,C,11.650
01/04/2024,"24,4","33,6","26,5",87,39,"6,1",6,360,1,C,11.620
02/04/2024,"22,9","33,7","27,5",87,"20,8","6,1",6,250,1,C,11.640
03/04/2024,"24,8","33,4","26,5",90,"37,5","5,1",7,350,1,C,11.620
04/04/2024,"24,2",33,"27,8",84,"7,1","2,8",2,350,0,C,11.640
05/04/2024,"23,8","32,9","28,5",78,"1,3","6,4",6,360,1,C,11.650
